?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000029221_CNSOverKidney>	"Slc30a9"
<http://example.org/onto/individual/ENSMUSG00000037972_CNSOverKidney>	"Snn"
<http://example.org/onto/individual/ENSMUSG00000064109_CNSOverKidney>	"Hcst"
<http://example.org/onto/individual/ENSMUSG00000061397_CNSOverKidney>	"Krt79"
<http://example.org/onto/individual/ENSMUSG00000032369_CNSOverKidney>	"Plscr1"
<http://example.org/onto/individual/ENSMUSG00000062604_CNSOverKidney>	"Srpk2"
<http://example.org/onto/individual/ENSMUSG00000054008_CNSOverKidney>	"Ndst1"
<http://example.org/onto/individual/ENSMUSG00000037827_CNSOverKidney>	"Gm5884"
<http://example.org/onto/individual/ENSMUSG00000030401_CNSOverKidney>	"Rtn2"
<http://example.org/onto/individual/ENSMUSG00000029469_CNSOverKidney>	"Ift81"
<http://example.org/onto/individual/ENSMUSG00000036390_CNSOverKidney>	"Gadd45a"
<http://example.org/onto/individual/ENSMUSG00000030402_CNSOverKidney>	"Ppm1n"
<http://example.org/onto/individual/ENSMUSG00000021190_CNSOverKidney>	"Lgmn"
<http://example.org/onto/individual/ENSMUSG00000015659_CNSOverKidney>	"Serac1"
<http://example.org/onto/individual/ENSMUSG00000074622_CNSOverKidney>	"Mafb"
<http://example.org/onto/individual/ENSMUSG00000036822_CNSOverKidney>	"Topors"
<http://example.org/onto/individual/ENSMUSG00000036752_CNSOverKidney>	"Tubb4b"
<http://example.org/onto/individual/ENSMUSG00000029156_CNSOverKidney>	"Sgcb"
<http://example.org/onto/individual/ENSMUSG00000090176_CNSOverKidney>	"Cd200r2"
<http://example.org/onto/individual/ENSMUSG00000095028_CNSOverKidney>	"Sirpb1b"
<http://example.org/onto/individual/ENSMUSG00000020277_CNSOverKidney>	"Pfkl"
<http://example.org/onto/individual/ENSMUSG00000036611_CNSOverKidney>	"Eepd1"
<http://example.org/onto/individual/ENSMUSG00000031765_CNSOverKidney>	"Mt1"
<http://example.org/onto/individual/ENSMUSG00000020585_CNSOverKidney>	"Laptm4a"
<http://example.org/onto/individual/ENSMUSG00000046062_CNSOverKidney>	"Ppp1r15b"
<http://example.org/onto/individual/ENSMUSG00000057895_CNSOverKidney>	"Zfp105"
<http://example.org/onto/individual/ENSMUSG00000022807_CNSOverKidney>	"Osbpl11"
<http://example.org/onto/individual/ENSMUSG00000044968_CNSOverKidney>	"Napepld"
<http://example.org/onto/individual/ENSMUSG00000004846_CNSOverKidney>	"Plod3"
<http://example.org/onto/individual/ENSMUSG00000026834_CNSOverKidney>	"Acvr1c"
<http://example.org/onto/individual/ENSMUSG00000001211_CNSOverKidney>	"Agpat3"
<http://example.org/onto/individual/ENSMUSG00000037362_CNSOverKidney>	"Nov"
<http://example.org/onto/individual/ENSMUSG00000005045_CNSOverKidney>	"Chd5"
<http://example.org/onto/individual/ENSMUSG00000022324_CNSOverKidney>	"Matn2"
<http://example.org/onto/individual/ENSMUSG00000042498_CNSOverKidney>	"D330045A20Rik"
<http://example.org/onto/individual/ENSMUSG00000030474_CNSOverKidney>	"Siglece"
<http://example.org/onto/individual/ENSMUSG00000039246_CNSOverKidney>	"Lyplal1"
<http://example.org/onto/individual/ENSMUSG00000022853_CNSOverKidney>	"Ehhadh"
<http://example.org/onto/individual/ENSMUSG00000032776_CNSOverKidney>	"Mctp2"
<http://example.org/onto/individual/ENSMUSG00000031402_CNSOverKidney>	"Mpp1"
<http://example.org/onto/individual/ENSMUSG00000031138_CNSOverKidney>	"F9"
<http://example.org/onto/individual/ENSMUSG00000021846_CNSOverKidney>	"Peli2"
<http://example.org/onto/individual/ENSMUSG00000040537_CNSOverKidney>	"Adam22"
<http://example.org/onto/individual/ENSMUSG00000020238_CNSOverKidney>	"Ncln"
<http://example.org/onto/individual/ENSMUSG00000049044_CNSOverKidney>	"Rapgef4"
<http://example.org/onto/individual/ENSMUSG00000043068_CNSOverKidney>	"Fam89a"
<http://example.org/onto/individual/ENSMUSG00000020234_CNSOverKidney>	"4930404N11Rik"
<http://example.org/onto/individual/ENSMUSG00000034353_CNSOverKidney>	"Ramp1"
<http://example.org/onto/individual/ENSMUSG00000021699_CNSOverKidney>	"Pde4d"
<http://example.org/onto/individual/ENSMUSG00000029166_CNSOverKidney>	"Mapre3"
<http://example.org/onto/individual/ENSMUSG00000042814_CNSOverKidney>	"Mcts2"
<http://example.org/onto/individual/ENSMUSG00000025085_CNSOverKidney>	"Ablim1"
<http://example.org/onto/individual/ENSMUSG00000025911_CNSOverKidney>	"Adhfe1"
<http://example.org/onto/individual/ENSMUSG00000038884_CNSOverKidney>	"A230050P20Rik"
<http://example.org/onto/individual/ENSMUSG00000020387_CNSOverKidney>	"Jade2"
<http://example.org/onto/individual/ENSMUSG00000010461_CNSOverKidney>	"Eya4"
<http://example.org/onto/individual/ENSMUSG00000039193_CNSOverKidney>	"Nlrc4"
<http://example.org/onto/individual/ENSMUSG00000026688_CNSOverKidney>	"Mgst3"
<http://example.org/onto/individual/ENSMUSG00000041075_CNSOverKidney>	"Fzd7"
<http://example.org/onto/individual/ENSMUSG00000090150_CNSOverKidney>	"Acad11"
<http://example.org/onto/individual/ENSMUSG00000051367_CNSOverKidney>	"Six1"
<http://example.org/onto/individual/ENSMUSG00000050844_CNSOverKidney>	"1700020N01Rik"
<http://example.org/onto/individual/ENSMUSG00000021720_CNSOverKidney>	"Rnf180"
<http://example.org/onto/individual/ENSMUSG00000022855_CNSOverKidney>	"Senp2"
<http://example.org/onto/individual/ENSMUSG00000035769_CNSOverKidney>	"Xylb"
<http://example.org/onto/individual/ENSMUSG00000000184_CNSOverKidney>	"Ccnd2"
<http://example.org/onto/individual/ENSMUSG00000021638_CNSOverKidney>	"Ocln"
<http://example.org/onto/individual/ENSMUSG00000048240_CNSOverKidney>	"Gng7"
<http://example.org/onto/individual/ENSMUSG00000073418_CNSOverKidney>	"C4b"
