?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000006179_CNSOverKidney>	"Prss16"
<http://example.org/onto/individual/ENSMUSG00000061353_CNSOverKidney>	"Cxcl12"
<http://example.org/onto/individual/ENSMUSG00000032066_CNSOverKidney>	"Bco2"
<http://example.org/onto/individual/ENSMUSG00000039315_CNSOverKidney>	"Clnk"
<http://example.org/onto/individual/ENSMUSG00000021196_CNSOverKidney>	"Pfkp"
<http://example.org/onto/individual/ENSMUSG00000062661_CNSOverKidney>	"Ncs1"
<http://example.org/onto/individual/ENSMUSG00000067610_CNSOverKidney>	"Klri1"
<http://example.org/onto/individual/ENSMUSG00000098814_CNSOverKidney>	"Igkv19-93"
<http://example.org/onto/individual/ENSMUSG00000031881_CNSOverKidney>	"Cdh16"
<http://example.org/onto/individual/ENSMUSG00000031494_CNSOverKidney>	"Cd209a"
<http://example.org/onto/individual/ENSMUSG00000012126_CNSOverKidney>	"Ubxn11"
<http://example.org/onto/individual/ENSMUSG00000028937_CNSOverKidney>	"Acot7"
<http://example.org/onto/individual/ENSMUSG00000002059_CNSOverKidney>	"Rab34"
<http://example.org/onto/individual/ENSMUSG00000094651_CNSOverKidney>	"Gal3st2"
<http://example.org/onto/individual/ENSMUSG00000045031_CNSOverKidney>	"Cetn4"
<http://example.org/onto/individual/ENSMUSG00000057522_CNSOverKidney>	"Spop"
<http://example.org/onto/individual/ENSMUSG00000003992_CNSOverKidney>	"Ssbp2"
<http://example.org/onto/individual/ENSMUSG00000046844_CNSOverKidney>	"Vat1l"
<http://example.org/onto/individual/ENSMUSG00000043015_CNSOverKidney>	"Tmem194b"
<http://example.org/onto/individual/ENSMUSG00000022490_CNSOverKidney>	"Ppp1r1a"
<http://example.org/onto/individual/ENSMUSG00000022504_CNSOverKidney>	"Ciita"
<http://example.org/onto/individual/ENSMUSG00000026594_CNSOverKidney>	"Ralgps2"
<http://example.org/onto/individual/ENSMUSG00000053931_CNSOverKidney>	"Cnn3"
<http://example.org/onto/individual/ENSMUSG00000024479_CNSOverKidney>	"Mal2"
